time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActVelMot32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.239690,-0.112790,1.794430,139.197130,-338.368010,76240.203130,1.000000,3.039000,-542.316470
0.002000,0.239690,-0.112790,1.753420,139.197140,-338.368160,75873.171880,,3.035160,-542.316470
0.004000,0.242250,-0.111510,1.661130,139.197140,-338.368230,75960.703130,,3.030030,-542.316470
0.006000,0.242250,-0.110230,1.712400,139.197140,-338.368290,75575.742190,,3.026180,-542.316470
0.008000,0.243530,-0.112790,2.112300,139.197140,-338.368380,75971.257810,1.000000,3.022340,-542.316470
0.010000,0.243530,-0.111510,2.071290,139.197140,-338.368440,75739.226560,,3.019780,-542.316470
0.012000,0.244810,-0.112790,1.784180,139.197140,-338.368560,75884.773440,,3.019780,-542.316470
0.014000,0.246090,-0.114070,1.589360,139.197140,-338.368650,75820.429690,,3.026180,-542.316470
0.016000,0.247380,-0.114070,1.732910,139.197140,-338.368740,75626.375000,1.000000,3.028750,-542.316470
0.018000,0.249940,-0.088440,1.650880,139.197140,-338.368840,76114.695310,,3.032590,-542.316470
0.020000,0.252500,0.283260,1.722660,139.197690,-338.368930,75470.281250,,3.039000,-542.316470
0.022000,0.252500,0.297360,1.835450,139.199040,-338.368990,75940.671880,,3.042850,-542.316410
0.024000,0.253780,0.270450,1.958500,139.200520,-338.369050,75731.835940,1.000000,3.041560,-542.316410
0.026000,0.253780,0.331970,2.071290,139.201860,-338.369080,75969.148440,,3.041560,-542.316410
0.028000,0.253780,0.433230,1.948240,139.203340,-338.369110,75649.578130,,3.044130,-542.316410
0.030000,0.256350,0.517820,2.020020,139.205260,-338.369140,75812.000000,,3.046690,-542.316410
0.032000,0.255070,0.593440,1.794430,139.207820,-338.369230,76068.281250,1.000000,3.058230,-542.316410
0.034000,0.253780,0.702390,2.050780,139.211110,-338.369260,75917.460940,,3.060790,-542.316410
0.036000,0.253780,0.839540,2.102050,139.215260,-338.369260,76113.632810,,3.058230,-542.316410
0.038000,0.253780,0.999760,1.855960,139.220490,-338.369260,75747.656250,,3.055660,-542.316410
0.040000,0.252500,1.163820,1.773930,139.227080,-338.369260,75999.734380,1.000000,3.055660,-542.316410
0.042000,0.252500,1.320190,1.732910,139.235290,-338.369260,75855.242190,,3.054380,-542.316410
0.044000,0.251220,1.468870,1.855960,139.245330,-338.369260,75938.562500,,3.051820,-542.316410
0.046000,0.249940,1.595760,1.866210,139.257450,-338.369290,76143.164060,,3.051820,-542.316410
0.048000,0.248660,1.691890,1.886720,139.271730,-338.369320,75953.328130,1.000000,3.055660,-542.316410
0.050000,0.248660,1.762390,1.589360,139.288190,-338.369350,76037.695310,,3.059510,-542.316410
0.050000,0.248660,1.762390,1.589360,139.288190,-338.369350,76037.695310,,3.059510,-542.316410
0.052000,0.246090,1.825200,1.855960,139.306870,-338.369380,75851.023440,,3.068480,-542.316470
0.054000,0.243530,1.861080,1.886720,139.327700,-338.369420,75851.023440,,3.077450,-542.316470
0.056000,0.240970,1.850830,1.804690,139.350660,-338.369480,75891.093750,1.000000,3.083860,-542.316470
