time,+/Nck/!SD/nckServoDataActCurr32 [u1; 1],+/Nck/!SD/nckServoDataActCurr32 [u1; 2],+/Nck/!SD/nckServoDataActCurr32 [u1; 4],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 2],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 3],+/Nck/!SD/nckServoDataActVelMot32 [u1; 4],+/Channel/!RP/rpa [u1; 15],+/Nck/!SD/nckServoDataActCurr32 [u1; 3],+/Nck/!SD/nckServoDataActPos1stEnc32 [u1; 1]
0.000000,0.148680,-0.453740,1.804690,139.208690,-332.887940,76100.984380,1.000000,3.210750,-570.326840
0.002000,0.149960,-0.451170,1.722660,139.208710,-332.888030,75954.382810,,3.203060,-570.326840
0.004000,0.151250,-0.451170,1.517580,139.208710,-332.888120,75937.500000,,3.195370,-570.326840
0.006000,0.151250,-0.449890,1.271480,139.208710,-332.888180,75841.523440,,3.188960,-570.326840
0.008000,0.152530,-0.449890,1.989260,139.208720,-332.888240,75775.078130,1.000000,3.183840,-570.326840
0.010000,0.153810,-0.449890,2.204590,139.208720,-332.888340,75806.726560,,3.183840,-570.326780
0.012000,0.155090,-0.449890,2.358400,139.208720,-332.888460,75756.093750,,3.185120,-570.326840
0.014000,0.156370,-0.448610,1.937990,139.208720,-332.888580,76048.250000,,3.195370,-570.326780
0.016000,0.157650,-0.447330,1.589360,139.208720,-332.888730,75836.257810,1.000000,3.204350,-570.326780
0.018000,0.158940,-0.419130,1.640630,139.208710,-332.888820,75836.257810,,3.210750,-570.326780
0.020000,0.160220,-0.056400,1.907230,139.209290,-332.888920,75813.054690,,3.218440,-570.326780
0.022000,0.160220,-0.015380,1.999510,139.210570,-332.889010,75776.132810,,3.223570,-570.326780
0.024000,0.162780,0.038450,1.835450,139.211650,-332.889040,75712.851560,1.000000,3.222290,-570.326780
0.026000,0.162780,0.192260,2.040530,139.212490,-332.889070,75726.562500,,3.221010,-570.326780
0.028000,0.164060,0.335820,1.753420,139.213610,-332.889100,75991.289060,,3.223570,-570.326780
0.030000,0.162780,0.437070,1.497070,139.215330,-332.889160,75851.023440,,3.224850,-570.326780
0.032000,0.162780,0.546020,1.630370,139.217650,-332.889160,75751.882810,1.000000,3.231260,-570.326780
0.034000,0.161500,0.685730,1.712400,139.220750,-332.889160,75829.921880,,3.227420,-570.326780
0.036000,0.161500,0.847230,2.122560,139.224810,-332.889160,75598.945310,,3.223570,-570.326780
0.038000,0.160220,0.997190,2.225100,139.230090,-332.889160,75868.945310,,3.223570,-570.326780
0.040000,0.160220,1.133060,2.143070,139.236830,-332.889160,75729.726560,1.000000,3.218440,-570.326780
